pokedex_number,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying
1,1,1,1,0.5,0.5,0.5,2,2
2,1,1,1,0.5,0.5,0.5,2,2
3,1,1,1,0.5,0.5,0.5,2,2
4,0.5,1,1,1,0.5,1,0.5,1
5,0.5,1,1,1,0.5,1,0.5,1
6,0.25,1,1,2,0.5,0.5,0.5,1
7,1,1,1,2,1,1,0.5,1
8,1,1,1,2,1,1,0.5,1
9,1,1,1,2,1,1,0.5,1
10,1,1,1,1,1,0.5,2,2
11,1,1,1,1,1,0.5,2,2
12,0.5,1,1,2,1,0.25,2,2
13,0.5,1,1,1,0.5,0.25,2,2
14,0.5,1,1,1,0.5,0.25,2,2
15,0.5,1,1,1,0.5,0.25,2,2
16,0.5,1,1,2,1,1,1,1
17,0.5,1,1,2,1,1,1,1
18,0.5,1,1,2,1,1,1,1
19,1,1,1,1,1,2,1,1
20,1,1,1,1,1,2,1,1
21,0.5,1,1,2,1,1,1,1
22,0.5,1,1,2,1,1,1,1
23,0.5,1,1,1,0.5,0.5,1,1
24,0.5,1,1,1,0.5,0.5,1,1
25,1,1,1,0.5,1,1,1,0.5
26,1,1,1,0.5,1,1,1,0.5
27,1,1,1,0,1,1,1,1
28,1,1,1,0,1,1,1,1
29,0.5,1,1,1,0.5,0.5,1,1
30,0.5,1,1,1,0.5,0.5,1,1
31,0.5,1,1,0,0.5,0.5,1,1
32,0.5,1,1,1,0.5,0.5,1,1
33,0.5,1,1,1,0.5,0.5,1,1
34,0.5,1,1,0,0.5,0.5,1,1
35,0.5,0.5,0,1,1,0.5,1,1
36,0.5,0.5,0,1,1,0.5,1,1
37,0.5,1,1,1,0.5,1,0.5,1
38,0.5,1,1,1,0.5,1,0.5,1
39,0.5,0.5,0,1,1,1,1,1
40,0.5,0.5,0,1,1,1,1,1
41,0.25,1,1,2,0.5,0.25,1,1
42,0.25,1,1,2,0.5,0.25,1,1
43,1,1,1,0.5,0.5,0.5,2,2
44,1,1,1,0.5,0.5,0.5,2,2
45,1,1,1,0.5,0.5,0.5,2,2
