pokedex_number,against_steel,against_water
1,1,0.5
2,1,0.5
3,1,0.5
4,0.5,2
5,0.5,2
6,0.5,2
7,0.5,0.5
8,0.5,0.5
9,0.5,0.5
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,0.5,1
26,0.5,1
27,1,2
28,1,2
29,1,1
30,1,1
31,1,2
32,1,1
33,1,1
34,1,2
35,2,1
36,2,1
37,0.5,2
38,0.5,2
39,2,1
40,2,1
41,1,1
42,1,1
43,1,0.5
44,1,0.5
45,1,0.5
46,1,0.5
47,1,0.5
48,1,1
49,1,1
50,1,2
51,1,2
52,1,1
53,1,1
54,0.5,0.5
55,0.5,0.5
56,1,1
57,1,1
58,0.5,2
59,0.5,2
60,0.5,0.5
61,0.5,0.5
62,0.5,0.5
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,0.5
70,1,0.5
71,1,0.5
72,0.5,0.5
73,0.5,0.5
74,2,4
75,2,4
76,2,4
77,0.5,2
78,0.5,2
79,0.5,0.5
80,0.5,0.5
81,0.25,1
82,0.25,1
83,1,1
84,1,1
85,1,1
86,0.5,0.5
87,1,0.5
88,1,1
89,1,1
90,0.5,0.5
91,1,0.5
92,1,1
93,1,1
94,1,1
95,2,4
96,1,1
97,1,1
98,0.5,0.5
99,0.5,0.5
100,0.5,1
101,0.5,1
102,1,0.5
103,1,0.5
104,1,2
105,1,2
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,2,4
112,2,4
113,1,1
114,1,0.5
115,1,1
116,0.5,0.5
117,0.5,0.5
118,0.5,0.5
119,0.5,0.5
120,0.5,0.5
121,0.5,0.5
122,2,1
123,1,1
124,2,1
125,0.5,1
126,0.5,2
127,1,1
128,1,1
129,0.5,0.5
130,0.5,0.5
131,1,0.5
132,1,1
133,1,1
134,0.5,0.5
135,0.5,1
136,0.5,2
137,1,1
138,1,1
139,1,1
140,1,1
141,1,1
142,2,2
143,1,1
144,2,1
145,0.5,1
146,0.5,2
147,1,0.5
148,1,0.5
149,1,0.5
150,1,1
151,1,1
152,1,0.5
153,1,0.5
154,1,0.5
155,0.5,2
156,0.5,2
157,0.5,2
158,0.5,0.5
159,0.5,0.5
160,0.5,0.5
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,1
169,1,1
170,0.25,0.5
171,0.25,0.5
172,0.5,1
173,2,1
174,2,1
175,2,1
176,2,1
177,1,1
178,1,1
179,0.5,1
180,0.5,1
181,0.5,1
182,1,0.5
183,1,0.5
184,1,0.5
185,2,2
186,0.5,0.5
187,1,0.5
188,1,0.5
189,1,0.5
190,1,1
191,1,0.5
192,1,0.5
193,1,1
194,0.5,1
195,0.5,1
196,1,1
197,1,1
198,1,1
199,0.5,0.5
200,1,1
201,1,1
202,1,1
203,1,1
204,1,1
205,0.5,1
206,1,1
207,1,2
208,0.5,2
209,2,1
210,2,1
211,0.5,0.5
212,0.5,1
213,2,2
214,1,1
215,2,1
216,1,1
217,1,1
218,0.5,2
219,1,4
220,2,2
221,2,2
222,1,1
223,0.5,0.5
224,0.5,0.5
225,2,1
226,0.5,0.5
227,0.5,1
228,0.5,2
229,0.5,2
230,0.5,0.25
231,1,2
232,1,2
233,1,1
234,1,1
235,1,1
236,1,1
237,1,1
238,2,1
239,0.5,1
240,0.5,2
241,1,1
242,1,1
243,0.5,1
244,0.5,2
245,0.5,0.5
246,2,4
247,2,4
248,2,2
249,1,1
250,0.5,2
251,1,0.5
252,1,0.5
253,1,0.5
254,1,0.5
255,0.5,2
256,0.5,2
257,0.5,2
258,0.5,0.5
259,0.5,1
260,0.5,1
261,1,1
262,1,1
263,1,1
264,1,1
265,1,1
266,1,1
267,1,1
268,1,1
269,1,1
270,0.5,0.25
271,0.5,0.25
272,0.5,0.25
273,1,0.5
274,1,0.5
275,1,0.5
276,1,1
277,1,1
278,0.5,0.5
279,0.5,0.5
280,2,1
281,2,1
282,2,1
283,0.5,0.5
284,1,1
285,1,0.5
286,1,0.5
287,1,1
288,1,1
289,1,1
290,1,2
291,1,1
292,1,1
293,1,1
294,1,1
295,1,1
296,1,1
297,1,1
298,2,1
299,2,2
300,1,1
301,1,1
302,1,1
303,1,1
304,1,2
305,1,2
306,1,2
307,1,1
308,1,1
309,0.5,1
310,0.5,1
311,0.5,1
312,0.5,1
313,1,1
314,1,1
315,1,0.5
316,1,1
317,1,1
318,0.5,0.5
319,0.5,0.5
320,0.5,0.5
321,0.5,0.5
322,0.5,4
323,0.5,4
324,0.5,2
325,1,1
326,1,1
327,1,1
328,1,2
329,1,1
330,1,1
331,1,0.5
332,1,0.5
333,1,1
334,1,0.5
335,1,1
336,1,1
337,2,2
338,2,2
339,0.5,1
340,0.5,1
341,0.5,0.5
342,0.5,0.5
343,1,2
344,1,2
345,2,1
346,2,1
347,2,2
348,2,2
349,0.5,0.5
350,0.5,0.5
351,1,1
352,1,1
353,1,1
354,1,1
355,1,1
356,1,1
357,1,0.5
358,1,1
359,1,1
360,1,1
361,2,1
362,2,1
363,1,0.5
364,1,0.5
365,1,0.5
366,0.5,0.5
367,0.5,0.5
368,0.5,0.5
369,1,1
370,0.5,0.5
371,1,0.5
372,1,0.5
373,1,0.5
374,0.5,1
375,0.5,1
376,0.5,1
377,2,2
378,2,1
379,0.5,1
380,1,0.5
381,1,0.5
382,0.5,0.5
383,1,2
384,1,0.5
385,0.5,1
386,1,1
387,1,0.5
388,1,0.5
389,1,1
390,0.5,2
391,0.5,2
392,0.5,2
393,0.5,0.5
394,0.5,0.5
395,0.25,0.5
396,1,1
397,1,1
398,1,1
399,1,1
400,0.5,0.5
401,1,1
402,1,1
403,0.5,1
404,0.5,1
405,0.5,1
406,1,0.5
407,1,0.5
408,2,2
409,2,2
410,1,2
411,1,2
412,1,1
413,1,0.5
414,1,1
415,1,1
416,1,1
417,0.5,1
418,0.5,0.5
419,0.5,0.5
420,1,0.5
421,1,0.5
422,0.5,0.5
423,0.5,1
424,1,1
425,1,1
426,1,1
427,1,1
428,1,1
429,1,1
430,1,1
431,1,1
432,1,1
433,1,1
434,1,1
435,1,1
436,0.5,1
437,0.5,1
438,2,2
439,2,1
440,1,1
441,1,1
442,1,1
443,1,1
444,1,1
445,1,1
446,1,1
447,1,1
448,0.5,1
449,1,2
450,1,2
451,1,1
452,1,1
453,1,1
454,1,1
455,1,0.5
456,0.5,0.5
457,0.5,0.5
458,0.5,0.5
459,2,0.5
460,2,0.5
461,2,1
462,0.25,1
463,1,1
464,2,4
465,1,0.5
466,0.5,1
467,0.5,2
468,2,1
469,1,1
470,1,0.5
471,2,1
472,1,2
473,2,2
474,1,1
475,1,1
476,1,2
477,1,1
478,2,1
479,0.5,1
480,1,1
481,1,1
482,1,1
483,0.5,0.5
484,0.5,0.25
485,0.25,2
486,1,1
487,1,0.5
488,1,1
489,0.5,0.5
490,0.5,0.5
491,1,1
492,1,0.5
493,1,1
494,0.5,2
495,1,0.5
496,1,0.5
497,1,0.5
498,0.5,2
499,0.5,2
500,0.5,2
501,0.5,0.5
502,0.5,0.5
503,0.5,0.5
504,1,1
505,1,1
506,1,1
507,1,1
508,1,1
509,1,1
510,1,1
511,1,0.5
512,1,0.5
513,0.5,2
514,0.5,2
515,0.5,0.5
516,0.5,0.5
517,1,1
518,1,1
519,1,1
520,1,1
521,1,1
522,0.5,1
523,0.5,1
524,2,2
525,2,2
526,2,2
527,1,1
528,1,1
529,1,2
530,0.5,2
531,1,1
532,1,1
533,1,1
534,1,1
535,0.5,0.5
536,0.5,1
537,0.5,1
538,1,1
539,1,1
540,1,0.5
541,1,0.5
542,1,0.5
543,1,1
544,1,1
545,1,1
546,2,0.5
547,2,0.5
548,1,0.5
549,1,0.5
550,0.5,0.5
551,1,2
552,1,2
553,1,2
554,0.5,2
555,0.5,2
556,1,0.5
557,2,2
558,2,2
559,1,1
560,1,1
561,1,1
562,1,1
563,1,1
564,1,1
565,1,1
566,2,2
567,2,2
568,1,1
569,1,1
570,1,1
571,1,1
572,1,1
573,1,1
574,1,1
575,1,1
576,1,1
577,1,1
578,1,1
579,1,1
580,0.5,0.5
581,0.5,0.5
582,2,1
583,2,1
584,2,1
585,1,0.5
586,1,0.5
587,0.5,1
588,1,1
589,0.5,1
590,1,0.5
591,1,0.5
592,0.5,0.5
593,0.5,0.5
594,0.5,0.5
595,0.5,1
596,0.5,1
597,0.5,0.5
598,0.5,0.5
599,0.5,1
600,0.5,1
601,0.5,1
602,0.5,1
603,0.5,1
604,0.5,1
605,1,1
606,1,1
607,0.5,2
608,0.5,2
609,0.5,2
610,1,0.5
611,1,0.5
612,1,0.5
613,2,1
614,2,1
615,2,1
616,1,1
617,1,1
618,0.5,2
619,1,1
620,1,1
621,1,0.5
622,1,2
623,1,2
624,0.5,1
625,0.5,1
626,1,1
627,1,1
628,1,1
629,1,1
630,1,1
631,0.5,2
632,0.5,1
633,1,0.5
634,1,0.5
635,1,0.5
636,0.5,2
637,0.5,2
638,0.5,1
639,2,2
640,1,0.5
641,1,1
642,0.5,1
643,0.5,1
644,0.5,0.5
645,1,2
646,2,0.5
647,0.5,0.5
648,1,1
649,0.5,1
650,1,0.5
651,1,0.5
652,1,0.5
653,0.5,2
654,0.5,2
655,0.5,2
656,0.5,0.5
657,0.5,0.5
658,0.5,0.5
659,1,1
660,1,2
661,1,1
662,0.5,2
663,0.5,2
664,1,1
665,1,1
666,1,1
667,0.5,2
668,0.5,2
669,2,1
670,2,1
671,2,1
672,1,0.5
673,1,0.5
674,1,1
675,1,1
676,1,1
677,1,1
678,1,1
679,0.5,1
680,0.5,1
681,0.5,1
682,2,1
683,2,1
684,2,1
685,2,1
686,1,1
687,1,1
688,1,1
689,1,1
690,0.5,0.5
691,1,0.5
692,0.5,0.5
693,0.5,0.5
694,0.5,1
695,0.5,1
696,2,1
697,2,1
698,4,2
699,4,2
700,2,1
701,1,1
702,1,1
703,4,2
704,1,0.5
705,1,0.5
706,1,0.5
707,1,1
708,1,0.5
709,1,0.5
710,1,0.5
711,1,0.5
712,2,1
713,2,1
714,1,0.5
715,1,0.5
716,2,1
717,1,1
718,1,1
719,4,2
720,1,1
721,0.25,1
722,1,0.5
723,1,0.5
724,1,0.5
725,0.5,2
726,0.5,2
727,0.5,2
728,0.5,0.5
729,0.5,0.5
730,1,0.5
731,1,1
732,1,1
733,1,1
734,1,1
735,1,1
736,1,1
737,0.5,1
738,0.5,1
739,1,1
740,2,1
741,0.5,2
742,2,1
743,2,1
744,2,2
745,2,2
746,0.5,0.5
747,0.5,0.5
748,0.5,0.5
749,1,2
750,1,2
751,0.5,0.5
752,0.5,0.5
753,1,0.5
754,1,0.5
755,2,0.5
756,2,0.5
757,0.5,2
758,0.5,2
759,1,1
760,1,1
761,1,0.5
762,1,0.5
763,1,0.5
764,2,1
765,1,1
766,1,1
767,0.5,0.5
768,0.5,0.5
769,1,2
770,1,2
771,0.5,0.5
772,1,1
773,1,1
774,2,2
775,1,1
776,0.5,1
777,0.25,1
778,2,1
779,0.5,0.5
780,1,0.5
781,1,0.5
782,1,0.5
783,1,0.5
784,1,0.5
785,1,1
786,2,1
787,2,0.5
788,1,0.5
789,1,1
790,1,1
791,0.5,1
792,1,1
793,2,2
794,1,1
795,1,1
796,0.5,1
797,0.5,1
798,0.5,0.5
799,1,0.5
800,1,1
801,1,1
