pokedex_number,percentage_male,sp_attack,sp_defense,speed
1,88.1,65,65,45
2,88.1,80,80,60
3,88.1,122,120,80
4,88.1,60,50,65
5,88.1,80,65,80
6,88.1,159,115,100
7,88.1,50,64,43
8,88.1,65,80,58
9,88.1,135,115,78
10,50,20,20,45
11,50,25,25,30
12,50,90,80,70
13,50,20,20,50
14,50,25,25,35
15,50,15,80,145
16,50,35,35,56
17,50,50,50,71
18,50,135,80,121
19,50,25,35,72
20,50,40,80,77
21,50,31,31,70
22,50,61,61,100
23,50,40,54,55
24,50,65,79,80
25,50,50,50,90
26,50,95,85,110
27,50,10,35,40
28,50,25,65,65
29,0,40,40,41
30,0,55,55,56
31,0,75,85,76
32,100,40,40,50
33,100,55,55,65
34,100,85,75,85
35,24.6,60,65,35
36,24.6,95,90,60
37,24.6,50,65,65
38,24.6,81,100,109
39,24.6,45,25,20
40,24.6,85,50,45
41,50,30,40,55
42,50,65,75,90
43,50,75,65,30
44,50,85,75,40
45,50,110,90,50
46,50,45,55,25
47,50,60,80,30
48,50,40,55,45
49,50,90,75,90
50,50,35,45,90
51,50,50,70,110
52,50,50,40,90
53,50,75,65,115
54,50,65,50,55
55,50,95,80,85
56,50,35,45,70
57,50,60,70,95
58,75.4,70,50,60
59,75.4,100,80,95
60,50,40,40,90
61,50,50,50,90
62,50,70,90,70
63,75.4,105,55,90
64,75.4,120,70,105
65,75.4,175,105,150
66,75.4,35,35,35
67,75.4,50,60,45
68,75.4,65,85,55
69,50,70,30,40
70,50,85,45,55
71,50,100,70,70
72,50,50,100,70
73,50,80,120,100
74,50,30,30,20
75,50,45,45,35
76,50,55,65,45
77,50,65,65,90
78,50,80,80,105
79,50,40,40,15
80,50,130,80,30
81,,95,55,45
82,,120,70,70
83,50,58,62,60
84,50,35,35,75
85,50,60,60,110
86,50,45,70,45
87,50,70,95,70
88,50,40,50,25
89,50,65,100,50
90,50,45,25,40
91,50,85,45,70
92,50,100,35,80
93,50,115,55,95
94,50,170,95,130
95,50,30,45,70
96,50,43,90,42
97,50,73,115,67
98,50,25,25,50
99,50,50,50,75
100,,55,55,100
101,,80,80,150
102,50,60,45,40
103,50,125,75,45
104,50,40,50,35
105,50,50,80,45
106,100,35,110,87
107,100,35,110,76
108,50,60,75,30
109,50,60,45,35
110,50,85,70,60
111,50,30,30,25
112,50,45,45,40
113,0,35,105,50
114,50,100,40,60
115,0,60,100,100
116,50,70,25,60
117,50,95,45,85
118,50,35,50,63
119,50,65,80,68
120,,70,55,85
121,,100,85,115
122,50,100,120,90
123,50,55,80,105
124,0,115,95,95
125,75.4,95,85,105
126,75.4,100,85,93
127,50,65,90,105
128,100,40,70,110
129,50,15,20,80
130,50,70,130,81
131,50,85,95,60
132,,48,48,48
133,88.1,45,65,55
134,88.1,110,95,65
135,88.1,110,95,130
136,88.1,95,110,65
137,,85,75,40
138,88.1,90,55,35
139,88.1,115,70,55
140,88.1,55,45,55
141,88.1,65,70,80
142,88.1,70,95,150
143,88.1,65,110,30
144,,95,125,85
145,,125,90,100
146,,125,85,90
147,50,50,50,50
148,50,70,70,70
149,50,100,100,80
150,,194,120,140
151,,100,100,100
152,88.1,49,65,45
153,88.1,63,80,60
154,88.1,83,100,80
155,88.1,60,50,65
156,88.1,80,65,80
157,88.1,109,85,100
158,88.1,44,48,43
159,88.1,59,63,58
160,88.1,79,83,78
161,50,35,45,20
162,50,45,55,90
163,50,36,56,50
164,50,86,96,70
165,50,40,80,55
166,50,55,110,85
167,50,40,40,30
168,50,60,70,40
169,50,70,80,130
170,50,56,56,67
171,50,76,76,67
172,50,35,35,60
173,24.6,45,55,15
174,24.6,40,20,15
175,88.1,40,65,20
176,88.1,80,105,40
177,50,70,45,70
178,50,95,70,95
179,50,65,45,35
180,50,80,60,45
181,50,165,110,45
182,50,90,100,50
183,50,20,50,40
184,50,60,80,50
185,50,30,65,30
186,50,90,100,70
187,50,35,55,50
188,50,45,65,80
189,50,55,95,110
190,50,40,55,85
191,50,30,30,30
192,50,105,85,30
193,50,75,45,95
194,50,25,25,15
195,50,65,65,35
196,88.1,130,95,110
197,88.1,60,130,65
198,50,85,42,91
199,50,100,110,30
200,50,85,85,85
201,,72,48,48
202,50,33,58,33
203,50,90,65,85
204,50,35,35,15
205,50,60,60,40
206,50,65,65,45
207,50,35,65,85
208,50,55,95,30
209,24.6,40,40,30
210,24.6,60,60,45
